filename,center_x,center_y,radius_x,radius_y
2024_02_11_12_26_IMG_4608 LE MILD NPDR.MOV-00001.png,515.0,649.0,453.0,444.0
2024_02_11_12_26_IMG_4608 LE MILD NPDR.MOV-00002.png,507.0,645.0,454.0,442.0
2024_02_12_12_41_IMG_4613 RE MOD NPDR.MOV-00001.png,315.0,524.0,472.0,470.0
2024_02_12_12_41_IMG_4613 RE MOD NPDR.MOV-00002.png,568.0,509.0,476.0,471.0
2024_02_12_12_47_IMG_4616 LE MOD NPDR.MOV-00001.png,666.0,467.0,467.0,477.0
2024_02_12_12_47_IMG_4616 LE MOD NPDR.MOV-00002.png,283.0,525.0,477.0,474.0
2024_02_12_12_47_IMG_4616 LE MOD NPDR.MOV-00003.png,230.0,453.0,496.0,484.0
2024_02_12_14_56_IMG_4623 RE SEV NPDR.MOV-00001.png,552.0,530.0,422.0,426.0
2024_02_12_14_56_IMG_4623 RE SEV NPDR.MOV-00002.png,550.0,529.0,434.0,426.0
2024_02_12_14_58_IMG_4624 LE MOD NPDR.MOV-00001.png,559.0,571.0,422.0,415.0
2024_02_12_14_58_IMG_4624 LE MOD NPDR.MOV-00002.png,574.0,610.0,417.0,425.0
2024_02_14_14_40_IMG_4648 RE  SEV NPDR WITH DME.MOV-00001.png,252.0,525.0,513.0,510.0
2024_02_14_14_40_IMG_4648 RE  SEV NPDR WITH DME.MOV-00002.png,547.0,526.0,506.0,504.0
2024_02_14_14_44_IMG_4650 LE SEV NPDR.MOV-00001.png,463.0,454.0,491.0,497.0
2024_02_14_14_44_IMG_4650 LE SEV NPDR.MOV-00002.png,543.0,546.0,509.0,495.0
2024_02_14_14_44_IMG_4650 LE SEV NPDR.MOV-00003.png,584.0,595.0,506.0,501.0
2024_02_15_14_08_IMG_4657 LE MILD NPDR.MOV-00001.png,637.0,631.0,366.0,363.0
2024_02_15_14_08_IMG_4657 LE MILD NPDR.MOV-00002.png,366.0,609.0,363.0,363.0
2024_02_15_14_19_IMG_4658 RE MILD NPDR.MOV-00001.png,515.0,581.0,408.0,415.0
2024_02_15_14_19_IMG_4658 RE MILD NPDR.MOV-00002.png,504.0,572.0,415.0,418.0
2024_02_15_14_20_IMG_4659 LE MILD NPDR.MOV-00001.png,528.0,656.0,414.0,417.0
2024_02_15_14_20_IMG_4659 LE MILD NPDR.MOV-00002.png,591.0,605.0,413.0,410.0
2024_02_15_14_57_IMG_4662 LE MILD NPDR.MOV-00001.png,433.0,583.0,482.0,476.0
2024_02_15_14_57_IMG_4662 LE MILD NPDR.MOV-00002.png,473.0,653.0,477.0,477.0
2024_02_16_10_50_IMG_4665 RE PDR STABLE.MOV-00001.png,224.0,456.0,490.0,494.0
2024_02_16_10_50_IMG_4665 RE PDR STABLE.MOV-00002.png,451.0,461.0,494.0,485.0
2024_02_16_10_53_IMG_4666 LE MOD NPDR.MOV-00001.png,445.0,453.0,490.0,478.0
2024_02_16_10_53_IMG_4666 LE MOD NPDR.MOV-00002.png,602.0,584.0,491.0,485.0
2024_02_16_10_53_IMG_4666 LE MOD NPDR.MOV-00003.png,493.0,496.0,480.0,490.0
2024_02_16_13_31_IMG_4671 re mod npdr.MOV-00001.png,486.0,520.0,408.0,418.0
2024_02_16_13_31_IMG_4671 re mod npdr.MOV-00002.png,628.0,533.0,411.0,420.0
2024_02_16_13_31_IMG_4671 re mod npdr.MOV-00003.png,583.0,512.0,414.0,414.0
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME.MOV-00001.png,578.0,528.0,414.0,408.0
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME.MOV-00002.png,621.0,505.0,410.0,413.0
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME.MOV-00003.png,579.0,555.0,417.0,407.0
2024_02_19_11_46_IMG_4678 LE PDR.MOV-00001.png,532.0,543.0,409.0,404.0
2024_02_19_11_46_IMG_4678 LE PDR.MOV-00002.png,522.0,559.0,407.0,397.0
2024_02_19_12_31_IMG_4679 RE MOD NPDR.MOV-00001.png,645.0,499.0,504.0,519.0
2024_02_19_12_31_IMG_4679 RE MOD NPDR.MOV-00002.png,533.0,536.0,512.0,515.0
2024_02_19_13_36_IMG_4681 RE SEV NPDR.MOV-00001.png,276.0,484.0,460.0,474.0
