filename,center_x,center_y,radius_x,radius_y
2024_02_15_14_19_IMG_4658 RE MILD NPDR_frame_1117.jpg,793,916,416,423
2024_02_15_14_19_IMG_4658 RE MILD NPDR_frame_1675.jpg,877,950,424,420
2024_02_15_14_19_IMG_4658 RE MILD NPDR_frame_558.jpg,832,935,412,403
2024_02_15_14_20_IMG_4659 LE MILD NPDR_frame_1359.jpg,845,1006,416,414
2024_02_15_14_20_IMG_4659 LE MILD NPDR_frame_453.jpg,898,980,415,418
2024_02_15_14_20_IMG_4659 LE MILD NPDR_frame_906.jpg,845,1029,405,414
2024_02_15_14_57_IMG_4662 LE MILD NPDR_frame_1232.jpg,740,864,482,476
2024_02_15_14_57_IMG_4662 LE MILD NPDR_frame_1848.jpg,832,903,484,478
2024_02_15_14_57_IMG_4662 LE MILD NPDR_frame_616.jpg,828,1010,486,476
2024_02_16_10_50_IMG_4665 RE PDR STABLE_frame_1064.jpg,946,941,485,482
2024_02_16_10_50_IMG_4665 RE PDR STABLE_frame_2128.jpg,980,1091,500,495
2024_02_16_10_50_IMG_4665 RE PDR STABLE_frame_3192.jpg,984,997,491,478
2024_02_16_10_53_IMG_4666 LE MOD NPDR_frame_1617.jpg,928,988,480,484
2024_02_16_10_53_IMG_4666 LE MOD NPDR_frame_3234.jpg,1031,1023,480,474
2024_02_16_10_53_IMG_4666 LE MOD NPDR_frame_4851.jpg,943,999,493,493
2024_02_16_13_31_IMG_4671 re mod npdr_frame_1219.jpg,971,1036,413,406
2024_02_16_13_31_IMG_4671 re mod npdr_frame_1829.jpg,967,1036,409,421
2024_02_16_13_31_IMG_4671 re mod npdr_frame_609.jpg,905,1006,420,412
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME_frame_1884.jpg,877,995,422,425
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME_frame_2826.jpg,1027,1085,424,416
2024_02_16_13_33_IMG_4672 LE SEV NPDR WITH DME_frame_942.jpg,939,1023,409,412
2024_02_19_11_46_IMG_4678 LE PDR_frame_1927.jpg,916,986,406,401
2024_02_19_11_46_IMG_4678 LE PDR_frame_2890.jpg,958,978,411,408
2024_02_19_11_46_IMG_4678 LE PDR_frame_963.jpg,935,982,416,403
2024_02_19_12_31_IMG_4679 RE MOD NPDR_frame_1216.jpg,868,950,545,519
2024_02_19_12_31_IMG_4679 RE MOD NPDR_frame_2433.jpg,982,993,523,515
2024_02_19_12_31_IMG_4679 RE MOD NPDR_frame_3650.jpg,913,946,536,519
2024_02_19_13_36_IMG_4681 RE SEV NPDR_frame_1336.jpg,982,956,467,463
2024_02_19_13_36_IMG_4681 RE SEV NPDR_frame_2673.jpg,971,958,469,460
2024_02_19_13_36_IMG_4681 RE SEV NPDR_frame_4010.jpg,982,933,472,465
