filename,label
IMG_2612 LE TORTOUSED VESSEL+_f1546.png,1
IMG_2596 ERM+ DRUSENS_f1965.png,0
2024_06_07_11_32_IMG_3471 RE HEALTHY_f1278.png,1
2024_02_26_15_30_IMG_4731 RE PDR WITH DME_f1166.png,0
2024_05_06_12_30_IMG_3269 RE Healthy_f560.png,1
IMG_2707 RE HEALTHY_f1558.png,0
2024_05_31_12_01_IMG_3428 LE STBRVO WITH CME_f2616.png,0
IMG_2601 DRUSEN+_f460.png,0
2024_06_07_10_52_IMG_3466 LE DRUSEN+_f1820.png,0
R009L_f981.png,0
2024_03_21_12_55_IMG_3048 RE MILD NPDR_f1253.png,0
IMG_2581_f571.png,0
2024_04_05_13_16_IMG_4931 RE SEV NPDR_f779.png,1
2024_03_21_12_57_IMG_3049 LE MILD NPDR_f586.png,1
IMG_2581_f285.png,0
R049R_f458.png,0
R008R2_f732.png,0
R028L_f1630.png,1
2024_06_06_11_59_IMG_3462 LE PDR_f647.png,0
IMG_2632 RE TRD_f1683.png,0
IMG_4419 RE MILD NPDR_f527.png,0
IMG_2620 RE MILD NPDR_f2614.png,0
2024_04_30_11_53_IMG_5009 RE HEALTHY_f681.png,1
IMG_2578 RE SEV NPDR + ERM_f216.png,0
R035L_f1868.png,1
IMG_2581 LE MILD NPDR_f857.png,0
IMG_2638 RE NO DR CHANGES_f1376.png,0
2024_05_08_10_34_IMG_5035 RE PDR WITH FVP_f1512.png,0
IMG_2610 RE TORTOUS VESSEL_f280.png,1
2024_02_15_14_20_IMG_4659 LE MILD NPDR_f906.png,0
2024_05_31_12_01_IMG_3428 LE STBRVO WITH CME_f1744.png,0
2024_05_09_14_03_IMG_5066 LE HEALTHY_f669.png,1
2024_06_13_12_28_IMG_3480 RE HEALTHY_f1001.png,0
R046R_f81.png,0
2024_03_07_15_21_IMG_4759 RE MILD NPDR_f1282.png,0
2024_02_15_14_57_IMG_4662 LE MILD NPDR_f1848.png,0
2024_04_12_13_32_IMG_4972 LE HIGH MYOP_f1574.png,0
2024_04_12_13_24_IMG_4970 LE HEALTHY_f926.png,0
R067L_f3399.png,0
2024_05_31_12_59_IMG_3431 RE MOD NPDR_f2348.png,0
R028R2_f726.png,0
R008R2_f488.png,0
IMG_2716 LE NO DR CHANGES_f754.png,0
2024_04_02_11_54_IMG_4881 LE MOD NPDR_f1619.png,0
IMG_2634 RE SEV NPDR_f1071.png,0
R040L_f797.png,0
2024_06_03_10_05_IMG_3440 RE PDR_f1928.png,0
"2024_05_07_12_33_IMG_5029 RE PDR, TRD_f1130.png",0
IMG_2597 RE MACULAR SCAR_f234.png,0
2024_02_26_15_30_IMG_4731 RE PDR WITH DME_f3500.png,0
2024_04_12_11_22_IMG_4958 RE MOD NPDR_f2799.png,0
2024_05_09_13_38_IMG_5060 LE ERM_f1743.png,1
IMG_2611 RE  NO DR CHANGES_f1152.png,0
2024_05_06_12_40_IMG_3272 LE MOD NPDR_f824.png,0
2024_05_09_13_25_IMG_5057 RE HEALTHY_f2081.png,1
2024_04_03_11_51_IMG_4888 RE MOD NPDR_f817.png,0
2024_05_08_11_59_IMG_5042 LE HEALTHY_f1349.png,0
2024_02_12_12_41_IMG_4613 RE MOD NPDR_f1788.png,0
2024_04_06_11_17_IMG_4941 RE SEV NPDR_f528.png,0
IMG_2600 LE HEALTHY_f1042.png,0
2024_04_04_11_36_IMG_4896 RE SEV NPDR_f1385.png,0
R028R_f526.png,0
2024_06_06_13_04_IMG_3463 RE PDR +CIDME_f1046.png,1
IMG_2722 RE HEALTHY_f1810.png,0
2024_03_25_11_51_IMG_3058 LE SEV NPDR_f2123.png,0
IMG_2705 RE NO DR CHANGES_f829.png,0
R004L_f16.png,0
2024_02_12_12_47_IMG_4616 LE MOD NPDR_f1007.png,1
IMG_2591 LE HA+_f758.png,0
R040L_f1595.png,0
IMG_2502 RE NO DR CHANGES_f329.png,0
R0742_f280.png,1
R029L_f35.png,0
