filename,label
2024_06_14_12_08_IMG_3496_f2573.png,0
2024_04_12_11_22_IMG_4958 RE MOD NPDR_f3265.png,1
R029L_f5.png,0
R069R_f421.png,0
IMG_2594 LE MILD NPDR_f311.png,1
2024_04_12_11_24_IMG_4959 LE MOD NPDR_f494.png,0
IMG_2506 RE DME_f196.png,1
R057R_f2354.png,0
2024_04_11_15_12_IMG_4953 RE HEALTHY_f175.png,0
IMG_2525 LE  SEV NPDR_f1999.png,0
2024_04_30_12_16_IMG_5012 RE HEALTHY_f2941.png,0
R031L_f35.png,1
R034L2_f1074.png,0
R026L2_f1759.png,1
2024_06_03_09_55_IMG_3438 RE PDR+ME+VH_f386.png,0
2024_05_06_14_02_IMG_3273 RE PDR_f2283.png,0
R049L2_f53.png,0
R029L2_f1841.png,0
2024_06_14_11_00_IMG_3489_f2357.png,1
R065L_f2511.png,0
2024_04_01_12_16_IMG_4869 SEV NPDR WITH DME_f454.png,0
2024_04_12_13_10_IMG_4968 LE SCAR+_f1522.png,1
R055L_f125.png,0
R053R_f102.png,0
R050R_f691.png,0
2024_05_08_10_36_IMG_5036 LE SEVERE NPDR_f494.png,0
2024_06_03_10_07_IMG_3441 LE PDR +NONCIDME_f3178.png,1
2024_04_04_13_08_IMG_4898 RE MOD NPDR_f2721.png,1
R020R_f327.png,0
2024_02_23_14_03_IMG_4725 LE MOD NPDR_f1007.png,0
2024_04_12_13_30_IMG_4971 RE HIGH MYOP_f3165.png,0
2024_06_07_11_22_IMG_3470 LE LASERED FUNDUS_f2281.png,0
2024_06_07_11_04_IMG_3468 LE RVO TRACT ON DISC_f1643.png,1
2024_06_13_11_34_IMG_3477 RE HEALTHY_f407.png,0
2024_05_07_12_45_IMG_5032 LE HEALTHY_f453.png,0
R049L_f101.png,0
2024_05_09_13_06_IMG_5053 RE HEALTHY_f1346.png,1
R022L_f285.png,0
IMG_2553 LE ERM+_f1902.png,0
IMG_2612 LE TORTOUSED VESSEL+_f1159.png,1
IMG_2556 LE HEALTHY_f1105.png,0
2024_02_12_12_47_IMG_4616 LE MOD NPDR_f755.png,1
R017R2_f805.png,0
R056R_f1715.png,0
IMG_2616 RE LASER SCAR + PHERIPHERAL_f2223.png,0
R033R_f54.png,1
2024_04_05_10_17_IMG_4918 LE MACULAR DEGENERATION_f1364.png,0
IMG_2552 RE HEALTHY_f908.png,0
2024_04_04_11_36_IMG_4896 RE SEV NPDR_f2423.png,0
2024_06_05_10_38_IMG_3455 RE PDR_f5410.png,1
2024_04_01_11_52_IMG_4866 RE MOD NPDR LASERED_f2014.png,1
2024_04_06_11_17_IMG_4941 RE SEV NPDR_f792.png,1
"2024_05_07_12_33_IMG_5029 RE PDR, TRD_f282.png",1
2024_05_31_14_12_IMG_3434 LE HEALTHY_f1750.png,1
2024_04_30_11_56_IMG_5010 LE HEALTHY_f2393.png,0
2024_05_09_12_31_IMG_5047 RE LATTICLEWITH RETINAL HOLE_f2245.png,0
IMG_2605 LE HEALTHY_f1583.png,0
2024_03_30_12_19_IMG_4854 LE PDR_f2808.png,0
IMG_2519 RE HEALTHY_f1636.png,0
2024_04_02_11_54_IMG_4881 LE MOD NPDR_f269.png,0
R051L_f2275.png,0
2024_04_11_13_32_IMG_4947 RE MOD NPDR_f1782.png,0
R044R_f1576.png,1
IMG_2612 LE TORTOUSED VESSEL+_f2706.png,0
2024_06_07_11_34_IMG_3472 LE HEALTHY_f280.png,1
R052L_f2394.png,0
2024_05_07_12_43_IMG_5031 RE HEALTHY_f1862.png,0
